UserID,DestinationID,ExperienceRating,Name_x,State,Type,BestTimeToVisit,AverageRating,Name_y,Preferences,Gender,NumberOfAdults,NumberOfChildren,GroupSize,Interests,Age,Budget,DurationDays,PreferredClimate,TravelStyle,SuggestedDestinations,RecommendedActivities
525,760,3,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,,Saanvi,"City, Historical",Female,2,2,4,"['City', 'Historical']",30,68380,4,Moderate,Cultural,Adventure in Jammu and Kashmir,"Trekking, Camping"
184,532,5,Goa Beaches,Goa,Beach,Nov-Mar,1.0,Ishaan,"Beaches, Historical",Male,1,2,3,"['Beaches', 'Historical']",30,49104,5,Dry,Relaxed,Beach in Goa,"Sunbathing, Surfing"
897,786,2,Taj Mahal,Uttar Pradesh,Historical,Nov-Feb,2.0,Pooja,"City, Historical",Female,1,2,3,"['City', 'Historical']",39,41019,4,Humid,Cultural,Historical in Uttar Pradesh,"Museum Tour, Guided Walk"
470,660,1,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,4.0,Arjun,"Nature, Adventure",Male,2,1,3,"['Nature', 'Adventure']",37,22395,10,Tropical,Explorer,Adventure in Jammu and Kashmir,"Trekking, Camping"
989,389,4,Kerala Backwaters,Kerala,Nature,Sep-Mar,3.0,Ritvik,"Nature, Adventure",Male,2,1,3,"['Nature', 'Adventure']",23,15444,8,Dry,Explorer,Nature in Kerala,"Boating, Birdwatching"
266,394,3,Kerala Backwaters,Kerala,Nature,Sep-Mar,,Vivaan,"Nature, Adventure",Male,2,1,3,"['Nature', 'Adventure']",25,57234,6,Cold,Explorer,Nature in Kerala,"Boating, Birdwatching"
399,953,2,Jaipur City,Rajasthan,City,Oct-Mar,2.5,Dhruv,"City, Historical",Male,1,1,2,"['City', 'Historical']",49,31068,10,Dry,Cultural,City in Rajasthan,"Shopping, Nightlife"
869,901,4,Taj Mahal,Uttar Pradesh,Historical,Nov-Feb,,Karan,"Nature, Adventure",Male,1,1,2,"['Nature', 'Adventure']",57,20688,4,Tropical,Explorer,Historical in Uttar Pradesh,"Museum Tour, Guided Walk"
580,890,1,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,5.0,Riya,"Beaches, Historical",Female,1,0,1,"['Beaches', 'Historical']",25,15617,8,Dry,Relaxed,Adventure in Jammu and Kashmir,"Trekking, Camping"
876,727,4,Goa Beaches,Goa,Beach,Nov-Mar,,Ritvik,"City, Historical",Male,2,2,4,"['City', 'Historical']",33,79020,8,Cold,Cultural,Beach in Goa,"Sunbathing, Surfing"
522,97,2,Goa Beaches,Goa,Beach,Nov-Mar,,Kavya,"City, Historical",Female,2,0,2,"['City', 'Historical']",18,11742,9,Tropical,Cultural,Beach in Goa,"Sunbathing, Surfing"
989,779,4,Kerala Backwaters,Kerala,Nature,Sep-Mar,2.0,Ritvik,"Nature, Adventure",Male,2,1,3,"['Nature', 'Adventure']",48,53625,10,Tropical,Explorer,Nature in Kerala,"Boating, Birdwatching"
469,715,3,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,2.0,Ishaan,"Beaches, Historical",Male,2,0,2,"['Beaches', 'Historical']",32,25488,5,Moderate,Relaxed,Adventure in Jammu and Kashmir,"Trekking, Camping"
46,487,1,Goa Beaches,Goa,Beach,Nov-Mar,,Anika,"Beaches, Historical",Female,2,1,3,"['Beaches', 'Historical']",37,26115,10,Cold,Relaxed,Beach in Goa,"Sunbathing, Surfing"
98,617,5,Goa Beaches,Goa,Beach,Nov-Mar,3.0,Arjun,"Nature, Adventure",Male,2,0,2,"['Nature', 'Adventure']",38,30496,3,Dry,Explorer,Beach in Goa,"Sunbathing, Surfing"
45,925,4,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,,Tanvi,"City, Historical",Female,2,0,2,"['City', 'Historical']",36,22088,6,Moderate,Cultural,Adventure in Jammu and Kashmir,"Trekking, Camping"
424,893,2,Jaipur City,Rajasthan,City,Oct-Mar,2.0,Riya,"Beaches, Historical",Female,1,0,1,"['Beaches', 'Historical']",38,17211,9,Tropical,Relaxed,City in Rajasthan,"Shopping, Nightlife"
352,149,5,Kerala Backwaters,Kerala,Nature,Sep-Mar,,Kavya,"Beaches, Historical",Female,1,0,1,"['Beaches', 'Historical']",30,10360,4,Cold,Relaxed,Nature in Kerala,"Boating, Birdwatching"
330,208,3,Jaipur City,Rajasthan,City,Oct-Mar,3.0,Aanya,"City, Historical",Female,2,1,3,"['City', 'Historical']",24,43830,4,Moderate,Cultural,City in Rajasthan,"Shopping, Nightlife"
76,310,2,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,,Anika,"Beaches, Historical",Female,2,0,2,"['Beaches', 'Historical']",51,12926,3,Humid,Relaxed,Adventure in Jammu and Kashmir,"Trekking, Camping"
501,200,1,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,,Arjun,"City, Historical",Male,2,0,2,"['City', 'Historical']",49,39378,10,Dry,Cultural,Adventure in Jammu and Kashmir,"Trekking, Camping"
609,458,1,Jaipur City,Rajasthan,City,Oct-Mar,2.0,Meera,"City, Historical",Female,2,2,4,"['City', 'Historical']",18,49204,3,Cold,Cultural,City in Rajasthan,"Shopping, Nightlife"
276,476,4,Taj Mahal,Uttar Pradesh,Historical,Nov-Feb,3.5,Ritvik,"City, Historical",Male,1,2,3,"['City', 'Historical']",54,49062,3,Moderate,Cultural,Historical in Uttar Pradesh,"Museum Tour, Guided Walk"
752,420,3,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,3.0,Vivaan,"Nature, Adventure",Male,1,2,3,"['Nature', 'Adventure']",20,30159,3,Humid,Explorer,Adventure in Jammu and Kashmir,"Trekking, Camping"
81,805,3,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,4.0,Isha,"City, Historical",Female,1,2,3,"['City', 'Historical']",36,24702,6,Cold,Cultural,Adventure in Jammu and Kashmir,"Trekking, Camping"
290,619,2,Kerala Backwaters,Kerala,Nature,Sep-Mar,,Riya,"Nature, Adventure",Female,2,1,3,"['Nature', 'Adventure']",51,25680,4,Cold,Explorer,Nature in Kerala,"Boating, Birdwatching"
422,986,2,Taj Mahal,Uttar Pradesh,Historical,Nov-Feb,,Meera,"Nature, Adventure",Female,1,0,1,"['Nature', 'Adventure']",55,18671,3,Cold,Explorer,Historical in Uttar Pradesh,"Museum Tour, Guided Walk"
129,586,3,Taj Mahal,Uttar Pradesh,Historical,Nov-Feb,3.0,Aarav,"City, Historical",Male,2,1,3,"['City', 'Historical']",32,59994,5,Dry,Cultural,Historical in Uttar Pradesh,"Museum Tour, Guided Walk"
324,38,5,Jaipur City,Rajasthan,City,Oct-Mar,,Rohan,"City, Historical",Male,1,1,2,"['City', 'Historical']",41,21434,6,Tropical,Cultural,City in Rajasthan,"Shopping, Nightlife"
421,410,3,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,1.0,Saanvi,"Beaches, Historical",Female,2,1,3,"['Beaches', 'Historical']",53,25827,3,Dry,Relaxed,Adventure in Jammu and Kashmir,"Trekking, Camping"
2,385,5,Leh Ladakh,Jammu and Kashmir,Adventure,Apr-Jun,,Rohan,"Nature, Adventure",Male,2,2,4,"['Nature', 'Adventure']",43,38920,3,Humid,Explorer,Adventure in Jammu and Kashmir,"Trekking, Camping"
476,114,1,Kerala Backwaters,Kerala,Nature,Sep-Mar,,Anika,"Nature, Adventure",Female,1,0,1,"['Nature', 'Adventure']",56,19623,10,Cold,Explorer,Nature in Kerala,"Boating, Birdwatching"
260,208,2,Jaipur City,Rajasthan,City,Oct-Mar,3.0,Isha,"Nature, Adventure",Female,1,0,1,"['Nature', 'Adventure']",20,6423,6,Moderate,Explorer,City in Rajasthan,"Shopping, Nightlife"
